city,product_type,status,request_time,begin_trip_time,begintrip_lat,begintrip_lng,begintrip_address,dropoff_time,dropoff_lat,dropoff_lng,dropoff_address,distance,fare_currency,fare_amount
Nairobi,uberCHAPCHAP,completed,2024-11-07T14:25:14.000Z,2024-11-07T14:34:58.000Z,-1.2137479,36.88025,"Unnamed Road, QVPH+CXR, Nairobi, Kenya",2024-11-07T14:53:20.000Z,-1.2328296,36.877956,"Thika Rd, Nairobi, Kenya",3.81,Kenyan Shilling,250.0
Nairobi,uberCHAPCHAP,rider_canceled,2024-11-07T14:19:44.000Z,,-1.2137771,36.878326,"",,-1.2137771,36.878326,"Thika Rd, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,Boda,rider_canceled,2024-11-07T14:17:52.000Z,,-1.2138972,36.87988,"",,-1.2138972,36.87988,"Thika Rd, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,uberCHAPCHAP,completed,2024-11-02T00:24:40.000Z,2024-11-02T00:29:57.000Z,-1.2624383,36.80423,"Nairobi, Kenya",2024-11-02T00:48:39.000Z,-1.220374,36.881413,"QVJH+9H, Nairobi, Kenya",7.58,Kenyan Shilling,510.0
Nairobi,uberCHAPCHAP,rider_canceled,2024-11-02T00:10:47.000Z,,-1.2625932,36.80382,"",,-1.2625932,36.80382,"QVJH+9H, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,Uber X,completed,2024-10-29T13:38:09.000Z,2024-10-29T13:45:56.000Z,-1.232747,36.877785,"Peponi Rd, Nairobi, Kenya",2024-10-29T13:53:14.000Z,-1.2200309,36.889977,"Nairobi, Kenya",2.12,Kenyan Shilling,270.0
Nairobi,uberCHAPCHAP,completed,2024-10-29T12:26:24.000Z,2024-10-29T12:42:51.000Z,-1.2204272,36.881454,"Mirema Road, Nairobi, Kenya",2024-10-29T13:09:17.000Z,-1.3130729,36.896503,"Fedha Rd, Nairobi, Kenya",10.15,Kenyan Shilling,230.0
Nairobi,uberCHAPCHAP,rider_canceled,2024-10-29T11:59:00.000Z,,-1.2204101,36.881416,"",,-1.2204101,36.881416,"Thika Rd, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,uberCHAPCHAP,rider_canceled,2024-10-29T11:55:05.000Z,,-1.2204101,36.881416,"",,-1.2204101,36.881416,"Thika Rd, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,Uber X,rider_canceled,2024-10-20T03:58:43.000Z,,-1.2204101,36.881416,"",,-1.2204101,36.881416,"Argwings Kodhek Rd, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,Uber X,rider_canceled,2024-10-20T03:56:08.000Z,,-1.2204101,36.881416,"",,-1.2204101,36.881416,"Argwings Kodhek Rd, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,Uber X,rider_canceled,2024-10-20T03:49:16.000Z,,-1.2204101,36.881416,"",,-1.2204101,36.881416,"Argwings Kodhek Rd, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,Uber X,rider_canceled,2024-10-20T03:44:01.000Z,,-1.2204101,36.881416,"",,-1.2204101,36.881416,"Argwings Kodhek Rd, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,uberCHAPCHAP,rider_canceled,2024-10-03T16:45:30.000Z,,-1.2204114,36.88142,"",,-1.2204114,36.88142,"PRFX+2W5, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,uberCHAPCHAP,rider_canceled,2024-10-03T16:37:18.000Z,,-1.2208275,36.882748,"",,-1.2208275,36.882748,"PRFX+2W5, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,uberCHAPCHAP,rider_canceled,2024-10-03T16:33:25.000Z,,-1.2208313,36.88275,"",,-1.2208313,36.88275,"PRFX+2W5, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,uberCHAPCHAP,completed,2024-10-03T16:10:52.000Z,2024-10-03T16:20:13.000Z,-1.218785,36.88754,"Clay City, Nairobi, Kenya",2024-10-03T16:32:05.000Z,-1.2208318,36.882744,"USIU Rd, Nairobi, Kenya",0.71,Kenyan Shilling,220.0
Nairobi,eBoda,failed,2024-09-21T15:35:34.000Z,,-1.232828,36.877956,"",,-1.232828,36.877956,"QVJH+9H, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,eBoda,completed,2024-09-21T09:06:11.000Z,2024-09-21T09:27:08.000Z,-1.220465,36.881474,"Mirema Road, Nairobi, Kenya",2024-09-21T09:38:19.000Z,-1.2320117,36.87716,"Thika Rd, Nairobi, Kenya",2.84,Kenyan Shilling,140.0
Nairobi,Boda,completed,2024-08-28T11:54:56.000Z,2024-08-28T13:06:25.000Z,-1.2895133,36.81116,"Kenyatta Avenue, Nairobi, Nairobi, Kenya",2024-08-28T13:15:06.000Z,-1.3015683,36.81616,"Kilimanjaro Rd, Nairobi, Kenya",1.72,Kenyan Shilling,90.0
Nairobi,uberCHAPCHAP,completed,2024-08-21T16:29:01.000Z,2024-08-21T16:38:19.000Z,-1.23276,36.877876,"Peponi Rd, Nairobi, Kenya",2024-08-21T16:46:15.000Z,-1.219795,36.879383,"QVJH+9H, Nairobi, Kenya",2.24,Kenyan Shilling,220.0
Nairobi,uberCHAPCHAP,rider_canceled,2024-08-21T16:24:25.000Z,,-1.232828,36.877956,"",,-1.232828,36.877956,"QVJH+9H, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
